x, y, th, stamp, 
-1.206328272819519, -4.638276100158691, -2.094740833007573, 1727986835475221678, 
-1.206328272819519, -4.638276100158691, -2.094740833007573, 1727986835570169209, 
-1.206328272819519, -4.638276100158691, -2.094740833007573, 1727986835618192272, 
-1.206328272819519, -4.638276100158691, -2.094740833007573, 1727986835666017932, 
-1.206328272819519, -4.638276100158691, -2.094740833007573, 1727986835730341981, 
-1.206328272819519, -4.638276100158691, -2.094740833007573, 1727986835778124772, 
-1.206328272819519, -4.638276100158691, -2.094740833007573, 1727986835826230180, 
-1.206328272819519, -4.638276100158691, -2.094740833007573, 1727986835874199375, 
-1.206328272819519, -4.638276100158691, -2.094740833007573, 1727986835922199690, 
-1.206328272819519, -4.638276100158691, -2.094740833007573, 1727986835970180120, 
-1.206328272819519, -4.638276100158691, -2.094740833007573, 1727986836018307256, 
-1.206328272819519, -4.638276100158691, -2.094740833007573, 1727986836066282973, 
-1.206328272819519, -4.638276100158691, -2.094740833007573, 1727986836114798934, 
-1.206328272819519, -4.638276100158691, -2.094740833007573, 1727986836178287903, 
-1.206328272819519, -4.638276100158691, -2.094740833007573, 1727986836226192179, 
-1.206328272819519, -4.638276100158691, -2.094740833007573, 1727986836274199614, 
-1.206328272819519, -4.638276100158691, -2.094740833007573, 1727986836324202187, 
-1.206328272819519, -4.638276100158691, -2.094740833007573, 1727986836370206662, 
-1.206328272819519, -4.638276100158691, -2.094740833007573, 1727986836418290188, 
-1.206328272819519, -4.638276100158691, -2.094740833007573, 1727986836466089806, 
-1.206328272819519, -4.638276100158691, -2.094740833007573, 1727986836514224261, 
-1.206328272819519, -4.638276100158691, -2.094740833007573, 1727986836578189620, 
-1.206328272819519, -4.638276100158691, -2.094740833007573, 1727986836626289936, 
-1.206328272819519, -4.638276100158691, -2.094740833007573, 1727986836674183238, 
-1.206328272819519, -4.638276100158691, -2.094740833007573, 1727986836723203682, 
-1.206328272819519, -4.638276100158691, -2.094740833007573, 1727986836771252213, 
-1.206328272819519, -4.638276100158691, -2.094740833007573, 1727986836819202100, 
-1.206328272819519, -4.638276100158691, -2.094740833007573, 1727986836866053663, 
-1.206328272819519, -4.638276100158691, -2.094740833007573, 1727986836931220737, 
-1.206328272819519, -4.638276100158691, -2.094740833007573, 1727986836978342744, 
-1.206328272819519, -4.638276100158691, -2.094740833007573, 1727986837026184821, 
-1.206328272819519, -4.638276100158691, -2.094740833007573, 1727986837074210204, 
-1.206328272819519, -4.638276100158691, -2.094740833007573, 1727986837124190638, 
-1.206328272819519, -4.638276100158691, -2.094740833007573, 1727986837170208828, 
-1.206328272819519, -4.638276100158691, -2.094740833007573, 1727986837218203748, 
-1.206328272819519, -4.638276100158691, -2.094740833007573, 1727986837266085137, 
-1.206328272819519, -4.638276100158691, -2.094740833007573, 1727986837314809064, 
-1.206328272819519, -4.638276100158691, -2.094740833007573, 1727986837378318966, 
-1.206328272819519, -4.638276100158691, -2.094740833007573, 1727986837426296310, 
-1.206328272819519, -4.638276100158691, -2.094740833007573, 1727986837474203581, 
-1.206328272819519, -4.638276100158691, -2.094740833007573, 1727986837523803434, 
-1.206328272819519, -4.638276100158691, -2.094740833007573, 1727986837572640830, 
