e, e_dot, e_int, stamp, 
-8.581640428661974e-07, -1.799413385382106e-06, -6.438449102897027e-08, 1729803172567568968, 
2.5731047265927024e-06, 1.4397695252760341e-05, 3.939933522347924e-08, 1729803172638183494, 
-0.00040164766960729055, -0.002730037766693487, -1.5954403973850912e-05, 1729803172687247125, 
-0.0014718065713738083, -0.0115359970110842, -5.5906398509946196e-05, 1729803172727830662, 
-0.002512736495050849, -0.015748873233757756, -0.00013223322617804726, 1729803172777689995, 
-0.0011757210064979923, 0.0019550872274138992, -0.00017175949287251185, 1729803172827685722, 
0.00021402750936803743, 0.018202749098143553, -0.00011566250164017848, 1729803172877558896, 
-0.0007328154527664152, 0.0030526518027391113, -5.6757947809402624e-05, 1729803172928171378, 
-0.0016280405777077086, -0.013757916123561734, -6.460794918932675e-05, 1729803172967842701, 
-0.001968330752812783, -0.00915482146791097, -0.00015749697106884878, 1729803173037312179, 
-0.0023263039993764415, -0.004011101506388302, -0.00023619961280292468, 1729803173087484383, 
-0.0024754685996954866, -0.0036232834746740875, -0.00020335048238972033, 1729803173127421800, 
-0.0035959853648540163, -0.004977110435932051, -0.00039194007291551945, 1729803173227500352, 
-0.0038944695574751513, -0.004721810284115418, -0.0006664218374337098, 1729803173328031960, 
-0.004992714514324197, -0.005073546362246314, -0.0007913192996703286, 1729803173417673041, 
-0.006804482202656418, -0.007866501647509657, -0.0013039638261187262, 1729803173577329352, 
-0.005677636139289725, 1.3082239600878398e-05, -0.0015064110987654722, 1729803173676286862, 
-0.0064880635614887345, 0.000855722935070319, -0.0012067734831299744, 1729803173768172037, 
-0.006053108013610458, -0.0014917914822191354, -0.0011659952037564962, 1729803173868285464, 
-0.007329345393660196, -0.002358813990090266, -0.0014032396741214246, 1729803173980029586, 
-0.005816924377935781, 0.001426590228799753, -0.001331614547341542, 1729803174076356980, 
-0.006431239867993262, 0.0030204303264509676, -0.001232411207931411, 1729803174168880655, 
-0.009021206301182257, -0.01078152875888125, -0.0013703205380641988, 1729803174269637811, 
-0.008958217328305505, -0.008375102771015027, -0.0017039427517228807, 1729803174378290295, 
-0.007221351471745033, 0.006157910368283864, -0.0017280727500016643, 1729803174475354430, 
-0.007088780394747747, 0.00644376849216487, -0.0014682337881940888, 1729803174567590418, 
-0.01089599258576585, -0.01029060504918155, -0.0017650426404273046, 1729803174685427499, 
-0.011745859857191381, -0.017468446550636802, -0.0015868921994812307, 1729803174727717403, 
-0.010414338798204836, -0.0036934153649961824, -0.0020932782858055195, 1729803174875402043, 
-0.012359103916504237, -0.004037834852773728, -0.0027583800399075195, 1729803174967442412, 
-0.017633504358015355, -0.021920245030076915, -0.0028314178325698183, 1729803175085619694, 
-0.01782147980929142, -0.015560001262028915, -0.0033458487802774622, 1729803175177371049, 
-0.01822542704297817, -0.003367136591429338, -0.0025393438360277886, 1729803175227534246, 
-0.02225775381149992, -0.012304568086291335, -0.0036902654208086994, 1729803175367249459, 
-0.029250838592866764, -0.029413806489281463, -0.005985103969167727, 1729803175485017065, 
-0.03348619788125379, -0.03504421469259268, -0.005959244745988334, 1729803175577588636, 
-0.04049904213118402, -0.03845070508751907, -0.006652913089391303, 1729803175678348113, 
-0.05990620596392267, -0.08229746074399256, -0.009382378585746982, 1729803175787812191, 
-0.09257838095672563, -0.1948507759044997, -0.012202257343886809, 1729803175868036597, 
