e, e_dot, e_int, stamp, 
1.5481090730735038e-10, -4.4705118118016816e-07, 1.511787696751691e-08, 1729804882956672976, 
1.5511902524386874e-10, -6.16225805221781e-13, 1.5399417391547797e-11, 1729804883004559216, 
-3.6425929788787812e-06, -2.4306354350945915e-05, -1.1878976173293896e-07, 1729804883054515258, 
-0.00024329901600688035, -0.0019333589098103985, -7.556544717690773e-06, 1729804883096360871, 
-0.002363631399606401, -0.01600788559630092, -8.003653365561666e-05, 1729804883146491081, 
-0.0014875036460576742, -0.008371018736983796, -0.00013800556279557101, 1729804883197477822, 
-0.0016628197567127641, 0.004492409256624767, -0.00018065556674498053, 1729804883244781096, 
-0.0023993079532255075, -0.00526804663595582, -0.00020012064643479008, 1729804883305658330, 
-0.0025899575403213818, -0.005286109708926966, -0.0002474053723967003, 1729804883356357555, 
-0.0017312599679846787, 0.0048217176636593416, -0.0002191210503016962, 1729804883403472579, 
-0.0022261984993540377, 0.004912320234483034, -0.0004124616080859963, 1729804883545345825, 
-0.003373859865524585, -0.005041198644184039, -0.0005877565805402951, 1729804883643984539, 
-0.0028840325755000373, -0.0012267656709669162, -0.0004530951051588094, 1729804883705561613, 
-0.0021226819975964186, 0.005245442761495837, -0.00044533421930338386, 1729804883803401136, 
-0.0010980700165149704, 0.004999899047904348, -0.00048795637441939637, 1729804883945352076, 
-0.0015298529659960182, 0.0009388311422875625, -0.0003801248103061626, 1729804884043449390, 
-0.002453341993484441, -0.007681104573824951, -0.0002500593864554513, 1729804884092988179, 
-0.0041218907403875946, -0.009703688150282216, -0.0005644212663334319, 1729804884252363134, 
-0.003212218971641816, -0.00023349755452857328, -0.000823759985398952, 1729804884345482907, 
-0.0038342877580795427, 0.0012133957760600755, -0.0007245369906126167, 1729804884446984697, 
-0.005348836947449283, -0.0066915132838956635, -0.0008681021512547421, 1729804884555586517, 
-0.005506756810953271, -0.0051962599927554256, -0.001002462565829351, 1729804884651709813, 
-0.0056740757649679004, -0.001141796540949882, -0.0010468284669851613, 1729804884745577333, 
-0.006056662036477349, -0.0018701250953155268, -0.001113628172804892, 1729804884845524784, 
-0.006902521975822151, -0.003833451665895462, -0.0013055294209778658, 1729804884955770735, 
-0.007829749562263193, -0.005780569267113649, -0.0014284814058334587, 1729804885051665431, 
-0.008570734583495719, -0.0058448179662744446, -0.0014766722711976206, 1729804885145875685, 
-0.010639938378414069, -0.009511755232436006, -0.0017514684129520679, 1729804885245982115, 
-0.012551895788689904, -0.012714362086322812, -0.0022184001511259197, 1729804885355405352, 
-0.012921573998452176, -0.007054267107805485, -0.002523288561002322, 1729804885455595831, 
-0.01459180801919614, -0.0074096478914074115, -0.0025412410891712403, 1729804885545687903, 
-0.01793608520808738, -0.017309107997826336, -0.0028823403096169594, 1729804885645851547, 
-0.022134722390247805, -0.0239068380287157, -0.003820844567687593, 1729804885755383937, 
-0.025456009080277828, -0.02428844067174361, -0.004493168031450354, 1729804885851561282, 
-0.02969637447075126, -0.025961391994666502, -0.004997681181461621, 1729804885949375462, 
-0.03400485309121985, -0.030078312889886535, -0.0056380458322465325, 1729804886041272607, 
-0.03790240970882272, -0.027422936083339424, -0.006842800577537654, 1729804886151419427, 
-0.04407567762337168, -0.03256671489080922, -0.00808835160905732, 1729804886250484882, 
-0.04832507563624724, -0.035092424974712454, -0.008598946177057528, 1729804886349394963, 
-0.05415610327025598, -0.035598468155490615, -0.009294538380815074, 1729804886440742887, 
-0.0525821908121082, -0.016702942718138592, -0.01064914629631316, 1729804886555423240, 
-0.056845091199578604, -0.009641314602939115, -0.01170358093388791, 1729804886655378027, 
-0.06046511857655798, -0.027624053451704045, -0.010757120847023646, 1729804886745375012, 
-0.06408486288583254, -0.02546625615604266, -0.01149194120576641, 1729804886845437344, 
-0.06159783800016652, -0.004519978944471418, -0.013032512633814983, 1729804886955409908, 
